City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,mocuba,-16.8392,36.9856,23.81,88,100,1.21,MZ,2023-03-04 20:09:17
285,jiuquan,39.7432,98.5174,3.61,32,6,1.17,CN,2023-03-04 20:09:17
286,leibnitz,46.7816,15.5384,7.16,76,2,0.45,AT,2023-03-04 20:09:17
287,likasi,-10.9814,26.7333,18.39,97,100,1.18,CD,2023-03-04 20:09:18
288,beidao,34.5686,105.8933,8.24,61,1,1.95,CN,2023-03-04 20:09:18
289,lannion,48.75,-3.4167,6.12,70,100,2.06,FR,2023-03-04 20:09:18
290,nakhon nayok,14.1667,101.1,23.55,54,38,2.01,TH,2023-03-04 20:09:18
291,cayenne,4.9333,-52.3333,28.02,74,100,5.14,GF,2023-03-04 20:09:19
292,bogale,16.2833,95.4,23.11,63,0,1.63,MM,2023-03-04 20:09:19
293,lac du bonnet,50.2536,-96.0612,-0.97,80,39,2.48,CA,2023-03-04 20:09:19
294,vagur,61.4732,-6.8119,4.0,93,100,5.2,FO,2023-03-04 20:09:19
295,neiafu,-18.65,-173.9833,29.38,79,40,5.14,TO,2023-03-04 20:09:19
296,yaan,7.3833,8.5667,28.41,64,100,6.47,NG,2023-03-04 20:09:20
297,tezu,27.9167,96.1667,19.54,40,17,2.15,IN,2023-03-04 20:09:20
298,padang,-0.9492,100.3543,24.25,86,77,2.19,ID,2023-03-04 20:09:20
299,aswan,24.0934,32.907,26.56,18,65,4.62,EG,2023-03-04 20:07:23
